rank,name,url,jury_mean,n_votes,rationale
291,AISafety.info,https://aisafety.info,38.2,24,"Limited direct campaign or organising utility (C1: 5, C4: 3), but offers some evidence-based analysis for AI risks relevant to info warfare (C2: 12, C3: 12), with good transferability (C6: 5) and part"
292,Shareyourpaper.org,https://shareyourpaper.org,38,24,"This project scores low on core criteria like C1, C2, and C3 as it focuses on academic paper sharing rather than political campaigns, disinformation countermeasures, or evidence-based political decisi"
293,CivicMatch,https://civicmatch.app,37.6,18,"Moderate scores on C1 and C4 for connecting citizens to opportunities and representatives, but weak across C2, C3, and C6 given national scope and lack of evidence-based tools. Modifiers: +2 neutral, "
294,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,37,1,"While DeepSeek-V3 is a technically impressive, partially open-source AI platform with some community contribution mechanisms, the dossier provides little evidence of participatory democracy, social ju"
295,Modular Politics,https://arxiv.org/abs/2005.13701,36.9,16,"As a specific arXiv entry, it mirrors the platform's strengths in evidence-based scholarly access (C3: 14) and tangential analysis (C2: 8), but lacks direct campaign or organising impact (C1: 4, C4: 4"
296,PolicyMogul,https://policymogul.com,36.9,14,"PolicyMogul provides usable tools for public affairs campaigns (C1: 12) and some evidence-based support (C3: 8), but lacks disinformation (C2: 3), community (C4: 2), and has standard privacy (C5: 4) w"
297,RightDD,https://www.rightsdd.com,35.6,5,"RightsDD provides ESG and human rights risk management tools primarily for corporate compliance professionals, showing some alignment with information warfare and campaign infrastructure criteria, but"
298,Polimorphic,https://www.polimorphic.com,35.2,21,"Government-focused AI for operations scores low on campaign (C1: 4) and organising (C4: 4), some evidence-based (C3: 10); info warfare minimal (C2: 3), privacy unmentioned (C5: 4), US-limited (C6: 2)."
299,soweego,https://soweego.readthedocs.io,35.0,24,"Primarily a data linking tool for Wikidata, it offers tangential evidence-based support (C3) through open data practices but scores minimally on campaign infrastructure (C1), disinformation analysis ("
300,Dovetail,https://dovetail.network,34.0,24,"From an anti-establishment view, this matchmaking service for non-profits and agencies scores low on core criteria, offering tangential community tools (C4:6) and cross-context potential (C6:4), but m"
301,PatCit,https://github.com/cverluise/patcit,34,5,"PatCit provides open patent citation data for academic and policy research, but lacks evidence of participatory democracy, community organising, or direct service to marginalised groups, and is primar"
302,The DAO (Standard DAO Framework),https://github.com/vbuterin/dao,33.2,5,"While the Standard DAO Framework nominally supports participatory democracy and is open source, the dossier provides little evidence of active community organising, privacy/GDPR compliance, or credibl"
303,Mapping.kids,https://mapping.kids,32.1,17,"Low scores across C1-C3 due to educational focus with no clear campaign or disinformation applications, though C4 and C6 benefit from community and international use; thin dossier limits depth, but co"
304,DoNotPay,https://www.donotpay.com,31.5,19,"From my disruption-sceptic viewpoint, DoNotPay earns points for evidence-based AI assistance (C3) and generalisability (C6), with implicit progressive consumer advocacy (M1), but it falters on privacy"
305,Collab.Land,https://collab.land,30.8,20,"Web3 token-gating aids community management (C4) and has some global reach (C6), but low on campaign (C1), disinformation (C2), and privacy due to onchain exposure (C5); modifiers add for multi-platfo"
306,GovWise,https://www.govwise.ai/en,29.9,19,"As a bot-sceptic, I view GovWise's AI-driven procurement automation warily, scoring it for evidence-based bid decisions (C3) but penalising heavy automation (M4) and privacy risks in proprietary handl"
307,WorkInCharities,https://www.workincharities.co.uk,28.8,23,"Work in Charities serves nonprofit job seekers with limited ties to political campaigns or organising under C1 and C4, offering minimal evidence-based features in C3 and UK-only scope per C6. Modifier"
