rank,name,url,score,criteria_score,mod_adj,completeness,uncertainty,pop_risk,primary_driver,c1,c2,c3,c4,c5,c6,c7,rationale
228,Worker Info Exchange,https://www.workerinfoexchange.org,43.8,47.2,-3.5,0.55,MEDIUM,LOW,c3,19,2,20,4,2,18,3,Worker Info Exchange: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
229,Bluesky,https://bsky.app,43.1,45.1,-2.1,0.82,LOW,LOW,c1,15,11,13,4,2,14,6,Bluesky: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
230,Kagi SlopStop,https://blog.kagi.com/slopstop,43.1,43.1,0.0,0.82,LOW,LOW,c1,16,10,10,4,2,14,6,Kagi SlopStop: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
231,OA.Report,https://oa.report,43.1,46.5,-3.5,0.55,MEDIUM,LOW,c3,16,2,23,4,2,15,5,OA.Report: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
232,Riseup,https://riseup.net,43.1,46.5,-3.5,0.73,LOW,LOW,c1,19,14,10,4,2,14,4,Riseup: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
233,soweego,https://soweego.readthedocs.io,43.1,48.6,-5.6,0.73,LOW,LOW,c2,14,19,13,4,2,14,4,soweego: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 19/30 pts is the criteria driver.
234,UK Parliament Developer Portal,https://developer.parliament.uk,43.1,44.4,-1.4,0.64,LOW,LOW,c3,15,2,23,4,3,14,3,UK Parliament Developer Portal: implementation-first scoring; primary driver is C3 at 23/30 pts; deployment modifier M_IMPL=-2.
235,Vote for Policies,https://voteforpolicies.org.uk,43.1,46.5,-3.5,0.55,MEDIUM,LOW,c3,19,2,23,4,2,14,3,Vote for Policies: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
236,WardWatch,https://wardwatch.uk,43.1,46.5,-3.5,0.64,LOW,LOW,c3,19,2,23,4,2,14,3,WardWatch: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
237,Who Targets Me Trends,https://trends.whotargets.me,43.1,46.5,-3.5,0.55,MEDIUM,LOW,c1,19,2,19,4,2,18,3,Who Targets Me Trends: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
238,Community Tech,https://www.communitytech.network,42.4,45.8,-3.5,0.55,MEDIUM,LOW,c3,19,2,23,4,2,14,2,Community Tech: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
239,GOV.UK Notify,https://www.notifications.service.gov.uk,42.4,42.4,0.0,0.82,LOW,LOW,c3,10,11,16,4,4,14,2,GOV.UK Notify: implementation-first scoring; primary driver is C3 at 16/30 pts; deployment modifier M_IMPL=0.
240,GovWise,https://www.govwise.ai/en,42.4,40.3,2.1,0.73,LOW,LOW,c1,16,2,16,4,4,14,2,GovWise: implementation-first scoring; primary driver is C1 at 16/30 pts; deployment modifier M_IMPL=0.
241,Objector.ai,https://www.objector.ai,42.4,45.8,-3.5,0.64,LOW,LOW,c3,19,2,23,4,2,14,2,Objector.ai: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
242,Objector.ai,https://objector.ai,42.4,45.8,-3.5,0.64,LOW,LOW,c3,19,2,23,4,2,14,2,Objector.ai: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
243,Open Council Data UK,https://opencouncildata.co.uk,42.4,45.8,-3.5,0.55,MEDIUM,LOW,c3,19,2,23,4,2,14,2,Open Council Data UK: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
244,Organise,https://www.organise.org.uk,42.4,47.9,-5.6,0.55,MEDIUM,LOW,c3,18,6,23,4,2,14,2,Organise: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
245,RightDD,https://www.rightsdd.com,42.4,45.8,-3.5,0.55,MEDIUM,LOW,c1,19,2,16,4,2,18,5,RightDD: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
246,User Research Library,https://research.localgov.digital,42.4,42.4,0.0,0.64,LOW,LOW,c3,15,2,19,4,4,14,3,User Research Library: implementation-first scoring; primary driver is C3 at 19/30 pts; deployment modifier M_IMPL=0.
247,Viewpoints,https://viewpoints.xyz,42.4,45.8,-3.5,0.64,LOW,LOW,c3,19,2,20,4,2,14,5,Viewpoints: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
248,DoNotPay,https://www.donotpay.com,41.7,47.2,-5.6,0.73,LOW,LOW,c6,15,10,16,4,2,18,3,DoNotPay: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
249,Kialo,https://kialo.com,41.0,46.5,-5.6,0.55,MEDIUM,LOW,c3,15,6,20,4,2,14,6,Kialo: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
250,Plausible Analytics,https://plausible.io,41.0,44.4,-3.5,0.82,LOW,LOW,c1,16,15,10,4,2,14,3,Plausible Analytics: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
251,Turbo Phonebank,https://turbophonebank.com,41.0,44.4,-3.5,0.55,MEDIUM,LOW,c3,19,2,20,4,2,14,3,Turbo Phonebank: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
252,CiviClick,https://civiclick.com,40.3,45.8,-5.6,0.55,MEDIUM,LOW,c3,18,2,23,4,2,15,2,CiviClick: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
253,MyActionCenter,https://www.myaction.center,40.3,43.8,-3.5,0.55,MEDIUM,LOW,c3,16,2,20,4,2,14,5,MyActionCenter: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
254,Nestr,https://nestr.io,40.3,43.8,-3.5,0.45,MEDIUM,LOW,c3,16,2,20,4,2,14,5,Nestr: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
255,Nyaaya,https://nyaaya.org,40.3,45.8,-5.6,0.82,LOW,LOW,c1,18,11,13,4,3,14,3,Nyaaya: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 18/30 pts is the criteria driver.
256,Open Letter,https://openletter.earth,40.3,45.8,-5.6,0.55,MEDIUM,LOW,c3,15,2,23,4,2,14,6,Open Letter: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
257,Right To Know,https://right-to-know.org,40.3,43.8,-3.5,0.55,MEDIUM,LOW,c1,19,2,16,4,2,18,2,Right To Know: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
258,CrowdJustice,https://www.crowdjustice.com,39.6,45.1,-5.6,0.55,MEDIUM,LOW,c3,15,2,23,4,2,15,4,CrowdJustice: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
259,Fatebook,https://fatebook.io,39.6,45.1,-5.6,0.82,LOW,LOW,c6,12,11,13,4,2,18,5,Fatebook: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
260,Hand-Written Petition Scanner,https://hand-written-petition-scanner.streamlit.app,39.6,43.1,-3.5,0.73,LOW,LOW,c3,16,2,20,4,2,14,4,Hand-Written Petition Scanner: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
261,Missing Numbers,https://missingnumbers.org,39.6,43.1,-3.5,0.55,MEDIUM,LOW,c1,19,2,19,4,2,14,2,Missing Numbers: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
262,Moral Machine,https://moralmachine.net,39.6,45.1,-5.6,0.82,LOW,LOW,c1,15,11,13,6,2,14,4,Moral Machine: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
263,Who Posted What?,https://whopostedwhat.com,39.6,43.1,-3.5,0.55,MEDIUM,LOW,c1,19,2,16,4,2,15,4,Who Posted What?: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
264,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,38.9,42.4,-3.5,0.55,MEDIUM,LOW,c1,16,6,16,4,2,14,3,Digital Account Management Toolkit: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
265,Dovetail,https://dovetail.network,38.9,42.4,-3.5,0.55,MEDIUM,LOW,c6,16,6,13,4,2,18,2,Dovetail: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
266,Empurrando Juntas (EJ),https://sobre.ejparticipe.org,38.9,42.4,-3.5,0.64,LOW,LOW,c3,17,2,20,4,2,14,2,Empurrando Juntas (EJ): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
267,Spartacus,https://spartacus.app,38.9,44.4,-5.6,0.55,MEDIUM,LOW,c3,15,2,23,4,2,14,4,Spartacus: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
268,Urbit,https://urbit.org,38.9,41.0,-2.1,0.64,LOW,LOW,c6,12,11,10,4,2,14,6,Urbit: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
269,Atlas of Surveillance,https://atlasofsurveillance.org,38.2,47.2,-9.0,0.82,LOW,LOW,c1,15,15,13,6,3,14,2,Atlas of Surveillance: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
270,GreenPT,https://greenpt.ai/,38.2,36.1,2.1,0.73,LOW,LOW,c1,16,2,10,4,4,14,2,GreenPT: implementation-first scoring; primary driver is C1 at 16/30 pts; deployment modifier M_IMPL=0.
271,Local Insight,https://localinsight.org,38.2,38.2,0.0,0.64,LOW,LOW,c6,12,2,13,4,4,18,2,Local Insight: implementation-first scoring; primary driver is C6 at 18/30 pts; deployment modifier M_IMPL=0.
272,Overton,https://overton.io,38.2,43.8,-5.6,0.64,LOW,LOW,c3,12,2,23,4,2,18,2,Overton: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 23/30 pts is the criteria driver.
273,Plinth,https://www.plinth.org.uk,38.2,38.2,0.0,0.73,LOW,LOW,c6,12,2,13,4,4,18,2,Plinth: implementation-first scoring; primary driver is C6 at 18/30 pts; deployment modifier M_IMPL=0.
274,Privacy Badger,https://privacybadger.org,38.2,48.6,-10.4,0.64,LOW,LOW,c2,18,24,10,4,2,8,4,Privacy Badger: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C2 at 24/30 pts is the criteria driver.
275,Prolific,https://www.prolific.com,38.2,43.8,-5.6,0.64,LOW,LOW,c6,12,2,16,8,2,18,5,Prolific: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
276,Labour Xchange,https://labourxchange.uk,37.5,37.5,0.0,0.64,LOW,LOW,c1,15,2,13,4,4,14,2,Labour Xchange: implementation-first scoring; primary driver is C1 at 15/30 pts; deployment modifier M_IMPL=0.
277,Mapping.kids,https://mapping.kids,37.5,41.0,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,15,4,Mapping.kids: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
278,Society for Hopeful Technologists,https://societyforhopefultechnologists.org,37.5,37.5,0.0,0.55,MEDIUM,LOW,c1,19,2,10,4,2,15,2,Society for Hopeful Technologists: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
279,DemTech Navigator,https://navigator.oii.ox.ac.uk,36.8,40.3,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,14,4,DemTech Navigator: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
280,Filmot,https://filmot.com,36.8,40.3,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,14,4,Filmot: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
281,Sci-Hub,https://sci-hub.se,36.8,40.3,-3.5,0.55,MEDIUM,LOW,c1,19,2,13,4,2,14,4,Sci-Hub: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
282,AISafety.info,https://aisafety.info,36.1,41.7,-5.6,0.82,LOW,LOW,c6,12,10,13,4,2,14,5,AISafety.info: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
283,Journalist Studio,https://journaliststudio.google.com,36.1,41.7,-5.6,0.73,LOW,LOW,c6,12,11,10,4,3,14,6,Journalist Studio: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
284,PoliMonitor,https://www.polimonitor.com,36.1,39.6,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,15,2,PoliMonitor: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
285,The List,https://the-list.uk,36.1,39.6,-3.5,0.55,MEDIUM,LOW,c1,16,2,16,4,2,14,3,The List: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
286,Whoisology,https://whoisology.com,36.1,39.6,-3.5,0.55,MEDIUM,LOW,c6,14,2,13,4,2,18,4,Whoisology: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
287,Conservative Party Funding,https://conservativepartyfunding.co.uk,35.4,38.9,-3.5,0.55,MEDIUM,LOW,c1,19,2,13,4,2,14,2,Conservative Party Funding: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 19/30 pts is the criteria driver.
288,Idealist,https://idealist.org,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c3,12,2,20,4,2,15,4,Idealist: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
289,PostBug,https://postbug.com,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c3,15,2,20,4,2,14,2,PostBug: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
290,Public Editor,https://www.publiceditor.io,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c6,12,2,16,4,2,18,5,Public Editor: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
291,Public Media Stack,https://publicmediastack.com,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c6,12,2,16,4,2,18,5,Public Media Stack: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
292,The Decelerator,https://decelerator.org.uk,35.4,38.9,-3.5,0.55,MEDIUM,LOW,c3,14,2,16,4,2,15,3,The Decelerator: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
293,We Live It,https://www.welivedit.ai,35.4,41.0,-5.6,0.55,MEDIUM,LOW,c3,12,6,16,4,2,14,5,We Live It: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
294,CivicMatch,https://civicmatch.app,34.7,40.3,-5.6,0.55,MEDIUM,LOW,c3,15,2,19,4,2,14,2,CivicMatch: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 19/30 pts is the criteria driver.
295,COTSI (Cyber Operational Threat Situational Intelligence),https://cotsi.org/,34.7,38.2,-3.5,0.55,MEDIUM,LOW,c1,16,2,13,4,2,14,4,COTSI (Cyber Operational Threat Situational Intelligence): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
296,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,34.7,40.3,-5.6,0.82,LOW,LOW,c6,12,11,10,4,3,14,4,DeepSeek-V3: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
297,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,34.7,40.3,-5.6,0.55,MEDIUM,LOW,c6,13,2,16,4,2,18,3,Violation Tracker UK: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
298,Dunadyne,https://dunadyne.org,34.0,39.6,-5.6,0.55,MEDIUM,LOW,c6,10,9,10,4,2,18,4,Dunadyne: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
299,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,34.0,39.6,-5.6,0.55,MEDIUM,LOW,c6,12,2,16,4,2,18,3,The Guide to Major Trusts 2025/26: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
300,Watch Duty,https://www.watchduty.org,34.0,39.6,-5.6,0.55,MEDIUM,LOW,c6,12,2,16,4,2,18,3,Watch Duty: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
301,Charity Digital Skills Report,https://charitydigitalskills.co.uk,33.3,36.8,-3.5,0.55,MEDIUM,LOW,c1,16,2,13,4,2,14,2,Charity Digital Skills Report: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 16/30 pts is the criteria driver.
302,OpenAudience,https://openaudience.org,33.3,38.9,-5.6,0.55,MEDIUM,LOW,c3,12,2,20,4,2,14,2,OpenAudience: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 20/30 pts is the criteria driver.
303,Citizens Advice Tableau Public Profile,https://public.tableau.com/app/profile/citizensadvice/vizzes,32.6,38.2,-5.6,0.55,MEDIUM,LOW,c3,15,2,16,4,2,14,2,Citizens Advice Tableau Public Profile: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
304,DoGooder,https://dogooder.co,32.6,38.2,-5.6,0.55,MEDIUM,LOW,c1,15,2,13,4,2,14,5,DoGooder: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
305,FixMyBlock,https://fixmyblock.org,32.6,38.2,-5.6,0.55,MEDIUM,LOW,c1,18,2,13,4,2,14,2,FixMyBlock: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 18/30 pts is the criteria driver.
306,Ladder Hub,https://ladderhub.org/,32.6,38.2,-5.6,0.55,MEDIUM,LOW,c1,20,2,10,4,2,15,2,Ladder Hub: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 20/30 pts is the criteria driver.
307,Local Deep Researcher,https://local-deep-researcher-hnmh.vercel.app/,32.6,38.2,-5.6,0.55,MEDIUM,LOW,c3,12,2,16,4,2,15,4,Local Deep Researcher: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
308,OpenOrigins,https://www.openorigins.com,32.6,38.2,-5.6,0.55,MEDIUM,LOW,c1,15,2,13,4,2,14,5,OpenOrigins: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
309,Registers and collaboration: making lists we can trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,32.6,38.2,-5.6,0.55,MEDIUM,LOW,c6,12,2,13,4,2,18,4,Registers and collaboration: making lists we can trust: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
310,Understanding Your Morality,https://programs.clearerthinking.org/understanding-your-morality/,32.6,38.2,-5.6,0.55,MEDIUM,LOW,c3,12,2,16,4,2,14,5,Understanding Your Morality: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
311,Shared Digital Guides,https://www.shareddigitalguides.org.uk,31.9,37.5,-5.6,0.64,LOW,LOW,c3,10,6,16,4,2,14,2,Shared Digital Guides: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
312,WorkInCharities,https://www.workincharities.co.uk,31.9,37.5,-5.6,0.55,MEDIUM,LOW,c1,15,6,10,4,2,14,3,WorkInCharities: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
313,Collab.Land,https://collab.land,31.2,36.8,-5.6,0.55,MEDIUM,LOW,c6,12,2,10,4,2,18,5,Collab.Land: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 18/30 pts is the criteria driver.
314,Consciousness Evolution Operating System (ConSoc),https://www.consoc.io,31.2,36.8,-5.6,0.36,HIGH,LOW,c6,12,9,10,4,2,14,2,Consciousness Evolution Operating System (ConSoc): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
315,Keep It In The Community,https://plunkett.my.site.com/keepitinthecommunity/s,31.2,36.8,-5.6,0.55,MEDIUM,LOW,c6,12,6,13,4,2,14,2,Keep It In The Community: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
316,PolicyMogul,https://policymogul.com,31.2,36.8,-5.6,0.55,MEDIUM,LOW,c3,12,2,16,4,2,15,2,PolicyMogul: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C3 at 16/30 pts is the criteria driver.
317,FarmerChat,https://farmerchat.digitalgreen.org,30.6,36.1,-5.6,0.55,MEDIUM,LOW,c1,15,2,10,4,2,14,5,FarmerChat: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C1 at 15/30 pts is the criteria driver.
318,Responsible Tech Guide 2025,https://alltechishuman.org/responsible-tech-guide-2025,29.9,35.4,-5.6,0.55,MEDIUM,LOW,c6,12,2,13,4,2,14,4,Responsible Tech Guide 2025: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 14/30 pts is the criteria driver.
319,,https://tracking-template-38b4c.web.app,29.2,34.7,-5.6,0.18,HIGH,LOW,c6,12,2,13,4,2,15,2,None: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 15/30 pts is the criteria driver.
320,Unknown Academic Paper (SSRN 5351275),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5351275,29.2,34.7,-5.6,0.27,HIGH,LOW,c6,12,2,13,4,2,15,2,Unknown Academic Paper (SSRN 5351275): limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 15/30 pts is the criteria driver.
321,verification-report,,29.2,34.7,-5.6,0.18,HIGH,LOW,c6,12,2,13,4,2,15,2,This project: limited deployment evidence means M_IMPL reduce of -8 under implementation-first framing; C6 at 15/30 pts is the criteria driver.
322,Yoti,https://www.yoti.com,28.5,35.4,-6.9,0.64,LOW,LOW,c6,10,2,10,6,4,14,5,Yoti: implementation-first scoring; primary driver is C6 at 14/30 pts; deployment modifier M_IMPL=0.
