rank,project_name,url,score,criteria_total,modifier_adj,completeness,uncertainty,popularity_risk,primary_driver,rationale
240,Schema.org,https://schema.org,12.4,12.4,0,0.66,LOW,HIGH,criteria,"My constitution is not built to see what Schema.org does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
241,Radicle,https://radicle.xyz,12.3,12.3,0,0.83,LOW,MEDIUM,criteria,Radicle engages with governance redistribution in ways that resonate with my decolonial commitments. Primary driver: decolonial governance.
242,Libertrium,https://liberopinion.com,12.2,12.2,0,0.67,LOW,MEDIUM,criteria,"My constitution is not built to see what Libertrium does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
243,OpenProcurement,https://openprocurement.io,12.2,12.2,0,0.92,LOW,MEDIUM,criteria,"My constitution is not built to see what OpenProcurement does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
244,Turn2us Benefits Calculator,https://benefits-calculator.turn2us.org.uk,12.2,7.2,5,0.65,LOW,HIGH,criteria,"My constitution is not built to see what Turn2us Benefits Calculator does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
245,GOV.UK Notify,https://www.notifications.service.gov.uk,12.1,12.1,0,0.9,LOW,MEDIUM,criteria,"My constitution is not built to see what GOV.UK Notify does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
246,Missing Numbers,https://missingnumbers.org,11.8,11.8,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what Missing Numbers does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
247,semanticClimate,https://semanticclimate.github.io,11.7,11.7,0,0.75,LOW,LOW,criteria,"My constitution is not built to see what semanticClimate does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
248,Democracy Fund Open Source,https://www.dfos.com,11.6,11.6,0,0.63,LOW,LOW,criteria,"My constitution is not built to see what Democracy Fund Open Source does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
249,New_ Public Roundabout,https://newpublic.substack.com/p/introducing-roundabout-built-for,11.6,11.6,0,0.75,LOW,LOW,criteria,"My constitution is not built to see what New_ Public Roundabout does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
250,Coral,https://coralproject.net,11.5,11.5,0,0.94,LOW,MEDIUM,criteria,"My constitution is not built to see what Coral does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
251,Service Manual,https://www.gov.uk/service-manual,11.5,6.5,5,0.94,LOW,MEDIUM,criteria,"My constitution is not built to see what Service Manual does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
252,Open Data Communities,https://opendatacommunities.org,11.4,11.4,0,0.77,LOW,MEDIUM,criteria,"My constitution is not built to see what Open Data Communities does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
253,COTSI (Cyber Operational Threat Situational Intelligence),https://cotsi.org/,11.2,11.2,0,0.61,LOW,LOW,criteria,"My constitution is not built to see what COTSI (Cyber Operational Threat Situational Intelligence) does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
254,CivicMatch,https://civicmatch.app,11.2,11.2,0,0.55,LOW,LOW,criteria,"My constitution is not built to see what CivicMatch does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
255,OpenAudience,https://openaudience.org,11.1,11.1,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what OpenAudience does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
256,Esper,https://esper.com/product,11.0,11.0,0,0.71,LOW,LOW,criteria,"My constitution is not built to see what Esper does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
257,GrantNav,https://grantnav.threesixtygiving.org,10.9,10.9,0,0.92,LOW,MEDIUM,criteria,"My constitution is not built to see what GrantNav does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
258,The Accountability Project,https://publicaccountability.org,10.9,10.9,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what The Accountability Project does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
259,oTree,https://www.otree.org,10.9,5.9,5,0.87,LOW,MEDIUM,criteria,"My constitution is not built to see what oTree does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
260,Journal of Open Source Software,https://joss.theoj.org,10.8,10.8,0,0.87,LOW,MEDIUM,criteria,"My constitution is not built to see what Journal of Open Source Software does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
261,Unpaywall Browser Extension,https://unpaywall.org/products/extension,10.8,10.8,0,0.79,LOW,MEDIUM,criteria,"My constitution is not built to see what Unpaywall Browser Extension does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
262,Gapminder Worldview Upgrader,https://upgrader.gapminder.org,10.6,10.6,0,0.92,LOW,MEDIUM,criteria,"My constitution is not built to see what Gapminder Worldview Upgrader does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
263,PatCit,https://github.com/cverluise/patcit,10.6,10.6,0,0.87,LOW,LOW,criteria,"My constitution is not built to see what PatCit does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
264,UK Parliament Developer Portal,https://developer.parliament.uk,10.6,10.6,0,0.6,LOW,LOW,criteria,"The UK Parliament Developer Portal website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
265,Community Notes (Birdwatch) Analysis Tool,https://github.com/travisbrown/birdwatch,10.3,10.3,0,0.94,LOW,LOW,criteria,"My constitution is not built to see what Community Notes (Birdwatch) Analysis Tool does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
266,Plausible Analytics,https://plausible.io,10.3,10.3,0,0.88,LOW,MEDIUM,criteria,"My constitution is not built to see what Plausible Analytics does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
267,Registers and collaboration: making lists we can trust,https://theodi.org/insights/reports/registers-and-collaboration-making-lists-we-can-trust-report,10.3,10.3,0,0.67,LOW,LOW,criteria,"My constitution is not built to see what Registers and collaboration: making lists we can trust does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
268,Abstract Wikipedia,https://meta.wikimedia.org/wiki/abstract_wikipedia,10.2,10.2,0,0.79,LOW,HIGH,criteria,"The Abstract Wikipedia website appears to be down, which limits what I can verify about this project. Primary driver: ethical infrastructure. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
269,Entitledto,https://entitledto.co.uk,10.2,5.2,5,0.63,LOW,MEDIUM,criteria,"The Entitledto website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
270,Political Advertising Transparency Data Standard,https://github.com/whotargetsme/ad-transparency-standards/blob/main/implement.md,9.9,9.9,0,0.9,LOW,LOW,criteria,"My constitution is not built to see what Political Advertising Transparency Data Standard does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
271,Fatebook,https://fatebook.io,9.7,9.7,0,0.87,LOW,MEDIUM,criteria,"My constitution is not built to see what Fatebook does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
272,We Live It,https://www.welivedit.ai,9.7,6.7,3,0.63,LOW,LOW,criteria,"My constitution is not built to see what We Live It does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
273,Pear by Holepunch,https://docs.holepunch.to,9.6,9.6,0,0.83,LOW,LOW,criteria,"My constitution is not built to see what Pear by Holepunch does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
274,Yoti,https://www.yoti.com,9.6,14.6,-5,0.82,LOW,LOW,criteria,"My constitution is not built to see what Yoti does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
275,Filmot,https://filmot.com,9.4,9.4,0,0.67,LOW,LOW,criteria,"My constitution is not built to see what Filmot does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
276,Shareyourpaper.org,https://shareyourpaper.org,9.3,9.3,0,0.75,LOW,LOW,criteria,"My constitution is not built to see what Shareyourpaper.org does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
277,DAO Governance Surfaces,https://github.com/notchia/dao-governance-surfaces,9.2,9.2,0,0.83,LOW,LOW,criteria,"My constitution is not built to see what DAO Governance Surfaces does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
278,Public Media Stack,https://publicmediastack.com,9.2,9.2,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what Public Media Stack does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
279,WorkInCharities,https://www.workincharities.co.uk,9.2,9.2,0,0.65,LOW,LOW,criteria,"My constitution is not built to see what WorkInCharities does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
280,The List,https://the-list.uk,9.1,9.1,0,0.77,LOW,LOW,criteria,"My constitution is not built to see what The List does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
281,Bluesky Social,https://github.com/bluesky-social,9.0,9.0,0,0.88,LOW,HIGH,criteria,"My constitution is not built to see what Bluesky Social does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
282,DoNotPay,https://www.donotpay.com,8.9,8.9,0,0.79,LOW,MEDIUM,criteria,"My constitution is not built to see what DoNotPay does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
283,Frankenstein Bill,https://gordonguthrie.github.io/frankensteinbill,8.9,8.9,0,0.88,LOW,LOW,criteria,"My constitution is not built to see what Frankenstein Bill does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
284,Choose a License,https://choosealicense.com,8.7,8.7,0,0.77,LOW,MEDIUM,criteria,"My constitution is not built to see what Choose a License does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
285,Digital Account Management Toolkit,https://digitalcharitylab.org/product/digital-account-management-toolkit,8.6,8.6,0,0.71,LOW,LOW,criteria,"My constitution is not built to see what Digital Account Management Toolkit does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
286,Landlord Tech Watch,https://antievictionmappingproject.github.io/landlordtech,8.6,14.6,-6,0.79,LOW,LOW,criteria,"My constitution is not built to see what Landlord Tech Watch does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
287,Pageviews Analysis,https://pageviews.wmcloud.org,8.5,8.5,0,0.85,LOW,LOW,criteria,"My constitution is not built to see what Pageviews Analysis does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
288,Kagi SlopStop,https://blog.kagi.com/slopstop,8.4,8.4,0,0.9,LOW,MEDIUM,criteria,"My constitution is not built to see what Kagi SlopStop does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
289,EDGAR,https://github.com/bellingcat/edgar,8.3,8.3,0,0.83,LOW,LOW,criteria,"My constitution is not built to see what EDGAR does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
290,Conservative Party Funding,https://conservativepartyfunding.co.uk,8.2,8.2,0,0.65,LOW,LOW,criteria,"My constitution is not built to see what Conservative Party Funding does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
291,DeepSeek-V3,https://github.com/deepseek-ai/deepseek-v3,8.0,8.0,0,0.87,LOW,MEDIUM,criteria,"My constitution is not built to see what DeepSeek-V3 does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
292,CivicPress,https://civicpress.io/,7.6,7.6,0,0.85,LOW,LOW,criteria,"My constitution is not built to see what CivicPress does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
293,Ladder Hub,https://ladderhub.org/,7.5,2.5,5,0.63,LOW,LOW,criteria,"My constitution is not built to see what Ladder Hub does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: movement-building."
294,Overton,https://overton.io,7.3,7.3,0,0.63,LOW,LOW,criteria,"My constitution is not built to see what Overton does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
295,Violation Tracker UK,https://violationtrackeruk.goodjobsfirst.org,7.3,7.3,0,0.56,LOW,LOW,criteria,"The Violation Tracker UK website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
296,Democracy Club Developer API,https://developers.democracyclub.org.uk/api/v1,7.1,7.1,0,0.94,LOW,LOW,criteria,"My constitution is not built to see what Democracy Club Developer API does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
297,Who Posted What?,https://whopostedwhat.com,7.0,7.0,0,0.69,LOW,MEDIUM,criteria,"My constitution is not built to see what Who Posted What? does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
298,OpenOrigins,https://www.openorigins.com,6.7,6.7,0,0.71,LOW,LOW,criteria,"My constitution is not built to see what OpenOrigins does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
299,PoliMonitor,https://www.polimonitor.com,6.7,6.7,0,0.61,LOW,HIGH,criteria,"My constitution is not built to see what PoliMonitor does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
300,Dovetail,https://dovetail.network,6.6,6.6,0,0.67,LOW,LOW,criteria,"My constitution is not built to see what Dovetail does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: health equity."
301,Dunadyne,https://dunadyne.org,6.4,6.4,0,0.58,LOW,LOW,criteria,"My constitution is not built to see what Dunadyne does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
302,AISafety.info,https://aisafety.info,6.0,6.0,0,0.81,LOW,LOW,criteria,"My constitution is not built to see what AISafety.info does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
303,Local Deep Researcher,https://local-deep-researcher-hnmh.vercel.app/,6.0,6.0,0,0.46,MEDIUM,LOW,criteria,"The Local Deep Researcher website appears to be down, which limits what I can verify about this project. Primary driver: community-centred design."
304,Membership,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,6.0,6.0,0,0.56,LOW,LOW,criteria,"The Membership website appears to be down, which limits what I can verify about this project. Primary driver: decolonial governance."
305,PolicyMogul,https://policymogul.com,6.0,6.0,0,0.58,LOW,LOW,criteria,"My constitution is not built to see what PolicyMogul does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
306,whatsmeow,https://github.com/tulir/whatsmeow,6.0,6.0,0,0.75,LOW,MEDIUM,criteria,"My constitution is not built to see what whatsmeow does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
307,DemTech Navigator,https://navigator.oii.ox.ac.uk,5.5,5.5,0,0.67,LOW,HIGH,criteria,"My constitution is not built to see what DemTech Navigator does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
308,Mapping.kids,https://mapping.kids,5.5,5.5,0,0.52,MEDIUM,LOW,criteria,"My constitution is not built to see what Mapping.kids does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
309,GOV Reuse Library,https://dev.reuselibrary.service.justice.gov.uk/,5.4,5.4,0,0.69,LOW,LOW,criteria,"My constitution is not built to see what GOV Reuse Library does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
310,django-collaborative,https://github.com/propublica/django-collaborative,5.4,5.4,0,0.81,LOW,LOW,criteria,"My constitution is not built to see what django-collaborative does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
311,Beckton,https://richardpope.org/2017/03/05/beckton-a-tool-to-build,5.3,5.3,0,0.83,LOW,LOW,criteria,"My constitution is not built to see what Beckton does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
312,Consciousness Evolution Operating System (ConSoc),https://www.consoc.io,5.0,5.0,0,0.42,MEDIUM,LOW,criteria,"My constitution is not built to see what Consciousness Evolution Operating System (ConSoc) does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
313,NumFOCUS,https://numfocus.org,4.9,4.9,0,0.9,LOW,MEDIUM,criteria,"My constitution is not built to see what NumFOCUS does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
314,Watch Duty,https://www.watchduty.org,4.9,4.9,0,0.67,LOW,LOW,criteria,"My constitution is not built to see what Watch Duty does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: movement-building."
315,The Guide to Major Trusts 2025/26,https://www.dsc.org.uk/publication/the-guide-to-major-trusts-2025-26/,4.3,4.3,0,0.67,LOW,MEDIUM,criteria,"My constitution is not built to see what The Guide to Major Trusts 2025/26 does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: conflict applicability."
316,postcodes.io,https://github.com/ideal-postcodes/postcodes.io,4.2,4.2,0,0.85,LOW,MEDIUM,criteria,"My constitution is not built to see what postcodes.io does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: decolonial governance."
317,The Decelerator,https://decelerator.org.uk,4.1,4.1,0,0.75,LOW,HIGH,criteria,"My constitution is not built to see what The Decelerator does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: movement-building. Popularity risk is high -- stripping the documentation advantage, I would estimate roughly 5 points lower."
318,Fission Codes,https://github.com/fission-codes/fission-codes,3.0,3.0,0,0.77,LOW,LOW,criteria,"My constitution is not built to see what Fission Codes does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: community-centred design."
319,GovWise,https://www.govwise.ai/en,3.0,3.0,0,0.71,LOW,LOW,criteria,"My constitution is not built to see what GovWise does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
320,User Research Library,https://research.localgov.digital,3.0,3.0,0,0.67,LOW,LOW,criteria,"My constitution is not built to see what User Research Library does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: ethical infrastructure."
321,Collab.Land,https://collab.land,0.6,0.6,0,0.63,LOW,LOW,criteria,"My constitution is not built to see what Collab.Land does -- it lacks the health equity, decolonial governance, or conflict-zone dimensions I prioritise. Primary driver: movement-building."
